name,city,city_slug,region,country,michelin_award,price,cuisines,telephone,url,description
坛,Beijing,beijing,Beijing Municipality,中国大陆地区,Bib Gourmand,中档,川菜,+86 157 0103 7418,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/tan-1218718,这是成都廊桥的姊妹餐厅，名字与店内大大小小的泡菜坛子遥相呼应。两层高的空间宽敞明亮，简约的木桌椅搭配墙上挂画，感觉优雅温馨。由四川厨师团队主理，菜单上除了传统川菜，亦有融合创意元素的菜肴。麻婆豆腐牛骨髓是必点菜式之一，在经典做法上添加了新鲜牛骨髓，与老豆腐同样入口即化，麻辣鲜香俱全，非常下饭。
壮壮酒馆 (朝阳公园路),Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,中档,烤肉餐馆,+86 186 1095 3870,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/bistro-strong,主打来自内蒙古的新鲜羊肉和牛肉，各部位配合不同烹调方式，如采用西式扒炉烤制或中式炭火烤串。推荐羊肉牛肝菌酥盒，其用料十足，且以松露油等提味，酥脆可口。现点现蒸的手工呼市烧麦，脆中带韧，每一口都充满羊肉的鲜香。酒饮选择丰富，除了啤酒、葡萄酒，更有加入风干羊肉、羊奶酪等特色元素的鸡尾酒。
天厨妙香素食 (朝阳),Beijing,beijing,Beijing Municipality,中国大陆地区,Bib Gourmand,负担得起的,素食,+86 10 5900 1088,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/tianchumiaoxiang-vegetarian-chaoyang,室内布置充满佛教气息，门前放着不同种类的佛经，用餐环境清幽宁静。菜单方面，供应不含蛋类、酒精及葱蒜的素食，亦有提供儿童素食套餐。宫保翠珍是创店以来一直保留的招牌菜，做法接近川菜的宫保菜式，以川椒、辣椒、花生、冬笋等搭配炸过的猴头菇，口感丰富，而且酸辣又开胃，非常下饭。
宜宾招待所,Beijing,beijing,Beijing Municipality,中国内地,Bib Gourmand,负担得起的,川菜,+86 185 1685 7748,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/yibin,入口处建有鱼池，搭衬由竹子构筑而成的室内布置，为用餐环境添上几分雅致。来自宜宾的厨师团队带来具家乡特色的川菜，菜式选择甚多，而且分量充足，适合与亲友共享。不要错过肉质滑嫩的李庒白肉、美味的宜宾燃面，还有清爽解辣的梅花冰粉。餐厅不接受预订，高峰期间需有长时间等候的心理准备。
宝源,Beijing,beijing,Beijing Municipality,中国大陆地区,Bib Gourmand,负担得起的,饺子,+86 10 6586 4967,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/bao-yuan,开业30年，所有饺子即包即煮，更自创以天然蔬果汁制作外皮，色彩缤纷，十分讨喜。馅料种类繁多，既有传统肉馅和素馅，也有宫保鸡丁和芝士等创意选择。推介猪肉茴香饺子，新鲜嫩绿的茴香搭配优质猪肉，汤汁丰盈，芬芳鲜味，令人一吃爱上。此店一直广受本地人和外国游客的喜爱。
宴锦堂·西院·东,Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,优质的,时尚中国菜,+86 158 0166 5010,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/heritage-east,老板是艺术收藏家，餐厅各处都有艺术品的踪影。食物风格融合南北特色，除了单点菜单，也可预先订制菜式，所需食材于用餐当天运达，确保最佳质量。选料新鲜上乘，烹饪技巧同样出色，热炒菜式充满镬气，如欲品尝特色或手工菜肴，务必提前查询。若正值菇菌当造的季节到访，建试尝尝螺丝椒炒红葱菌。
家全七福,Beijing,beijing,Beijing Municipality,中国大陆地区,ONE_STAR,优质的,粤菜,+86 10 8571 6888,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/seventh-son-1186794,来自香港的家全七福，一直讲究选材，从平实的家常菜到名贵的山珍海味应有尽有，是品尝传统粤菜的好地方。除了不能错过的当红脆皮鸡，鸡子戈渣外脆内嫩、蟹肉桂花虾丝鲜味十足，同样值得一试。餐厅装潢以浅绿色和原木为基调，搭配绿植让空间更加舒适。包间适合宴请。不少菜品须提前预订。
寂川,Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,中档,川菜,+86 10 5339 5553,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/ji-chuan,寂川以麻辣口味的渝派川菜为核心，大量采用来自四川及重庆的食材，同时加入创新元素。推介凉菜泡椒桃仁，微酸带甜，让人胃口大开。招牌菜三两雪花牛肉麻婆豆腐，其盐卤豆腐豆香浓郁，牛肉则丰富了口感。最后不妨以加入水果、酒酿、红豆等配料的手工冰粉缓解辛辣。同时备有多款酒品，适合三五知己轻松相聚。
富春居,Beijing,beijing,Beijing Municipality,中国大陆地区,ONE_STAR,优质的,粤菜,+86 10 5280 6418,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/fu-chun-ju,室内布局出自德国顶尖建筑设计师奥雷·舍人之手，采用琥珀玻璃、精巧木器和石雕，抬头可见天井形灯饰。每一桌都是独立的圆形空间，只留一处开口上菜，既舒适又具隐私。厨师来自香港，拥有多年粤菜经验，技巧稳扎。菜单设有多款单人分量菜式，午市供应精致的港式点心。招牌乳鸽皮脆肉嫩且多汁，建议提前预订。
屋里厢,Beijing,beijing,Beijing Municipality,中国大陆地区,TWO_STARS,优质的,沪菜,+86 10 6539 8660,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/shanghai-cuisine,店名在上海话是“家里”的意思，来自上海的主厨，带来扣三丝、酱冬瓜等传统家乡菜式。季节菜单采用江浙地区的时令食材，当中很多为本地少见品种，不要错过。手工制作的上海点心精致美味，无论是经典的小笼包，还是时令的青团，都值得一试。另设有主厨私宴厅，由主厨于席前为客人烧菜，气派十足。
左岸,Beijing,beijing,Beijing Municipality,中国内地,Selected,优质的,时尚法国菜,+86 10 5393 2495,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/rive-gauche-1186760,设计灵感源自巴黎左岸的波西米亚风格，氛围悠闲之余不失现代感。菜单涵盖法国传统美食，也不乏融入中国元素的菜肴，例如龙井茶奶冻及搭配餐前面包的腐乳味黄油，充满对比和复杂性。除了品尝菜单，也可从零点菜单自选菜品组合成套餐。开心果挞壳配鹅肝慕斯、炸海螯虾等，都是店内人气之选。
恰 (南三里屯路),Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,优质的,扒房,+86 10 8516 0065,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/char-south-sanlitun-road,穿过一条亮着红色霓虹灯、放有铜牛雕像的通道，便会到达用餐区。在这里，客人可享受一系列优质牛肉，包括澳大利亚Blackmore和牛。和亲友良朋聚餐时，不妨点选分量巨大的战斧牛排，或者重达一公斤的丁骨牛排，厨师会推车到桌边为客人现场分切，并提供多种盐和芥末佐吃。建议选择阳台座位，欣赏三里屯的迷人风景。
拾久 (东三环中路),Beijing,beijing,Beijing Municipality,中国内地,ONE_STAR,中档,京菜,+86 10 8777 4188,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/poetry%E2%80%A7wine,餐厅名字有“拾回久远”的意思，寄意用全新的方式演绎京菜。装潢同样充满巧思，门外设竹林庭院，室内则饰以当代艺术水墨画。食物价格亲民，招牌菜除了烧鱼头，还有用明火烤制、伴以手制饼皮的烤鸭。甜品方面，桂花山药酪是很好的选择。酒单选择不俗，不妨和三五知己共享。
新明园,Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,中档,粤菜,+86 10 8561 9040,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/xin-ming-yuen,室内装潢优雅漂亮、中西合璧，用餐环境宽敞舒适，适合各种聚餐宴请。由经验丰富的主厨坐镇，擅长以传统方式烹调粤菜。菜单虽选择精简，但包含烧味、小菜、海鲜等经典粤式佳肴。各式炖汤、桂花炒瑶柱等传统功夫菜值得一试。招牌脆皮鸡肉质嫩滑，鸡皮香脆，十分美味。服务贴心周到，让客人感到宾至如归。
新荣记 (建国门外大街),Beijing,beijing,Beijing Municipality,中国大陆地区,ONE_STAR,优质的,台州菜,+86 10 8517 1789,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/xin-rong-ji-jianguomenwai-street,一如新荣记其他分店，室内设计在时尚中透出低调奢华。菜肴均以每天由台州空运到店的优质食材烹制，鲜度毋庸置疑，当中的野生黄鱼更是镇店之宝。现点现炖的金丝燕椰子水牛奶口感嫩滑，配上胶质丰润的燕窝，为餐点画下完美句号。菜品丰富多样，套餐包含多道招牌菜。为了更好的用餐体验，建议提前订座并安排菜单。
新荣记 (新源南路),Beijing,beijing,Beijing Municipality,中国内地,THREE_STARS,奢华,台州菜,+86 10 6501 5501,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/xin-rong-ji-xinyuan-south-road,此为新荣记的旗舰店，设计以中国古典风格为基础，融入现代元素，并设吧台和开放式厨房。食物方面，招牌菜野生大黄鱼、黄金脆带鱼等一律俱备，更有只在本店供应的北京烤鸭，皮脆肉嫩，叫人回味不已。老鸭花胶炖芋艿采用鸭巴肚花胶烹制，芋艿入口即化，软绵香滑。客人更可提前请店家设计菜单，服务贴心周到。
新荣记 (金融大街),Beijing,beijing,Beijing Municipality,中国内地,ONE_STAR,优质的,台州菜,+86 10 6618 0567,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/xin-rong-ji-jinrong-street,为新荣记在北京的首店，主要供应浙江东海海鲜和地道台州美食。大厅的沙发背靠着鱼缸，后面是大型海鲜摊，布局设计突显餐厅主题。厨师因应时令而更换菜单，将当季最优质的新鲜食材以不同烹饪方式呈现，例如多汁软嫩的鮸鱼蒸饺，以及爽弹可口的鮸鱼狮子头。餐厅提供配菜服务，可按用餐人数调整菜式分量。
新长福,Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,优质的,湘菜,+86 10 6831 0256,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/everlasting-happiness,新长福为湖南的知名湘菜菜馆，这家是在北京的首家门店，厨师皆来自当地。推荐长沙肉炒肉，以上乘的猪里脊肉和猪油渣同爆炒，油香四溢，更可加入应季菌菇，配饭一流。从湖南常德空运而来的新鲜黄鳝品质绝佳，建议以地道的黄焖做法烹煮，能尝到鳝鱼本身的鲜甜。品牌于湖南自设工厂生产腊味，品种多样，不妨选点一二。
方砖厂69号炸酱面 (方砖厂胡同),Beijing,beijing,Beijing Municipality,中国大陆地区,Bib Gourmand,负担得起的,面食,+86 136 9115 0449,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/no-69-fangzhuanchang-zhajiangmian,全店只卖炸酱面，但客人依然络绎不绝，也不介意拼桌或候座。获安排座位后，店员会先放下炸酱，以及黄瓜丝、萝卜丝、黄豆等传统配料，然后才开始煮面。面条虽然非自制，但口感烟韧，而且相当挂汁。炸酱则咸甜得宜，带有肉粒。吃面时可以另外加上店家腌制的腊八蒜，和带孜然香的辣酱，增添风味。
明园餐厅,Beijing,beijing,Beijing Municipality,中国大陆地区,Bib Gourmand,中档,京菜,+86 10 6528 1688,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/mingyuan-restaurant,这家胡同小馆开业数十年，门头挂着红灯笼，室内以字画布置搭配木桌椅，如实呈现北京烟火气。菜单以京味家常菜为主，也提供炸灌肠、豆汁、小吊梨汤等地道小吃，价格亲民且分量慷慨。焦溜丸子外酥里嫩，每一颗都挂上酸甜适口的芡汁。老北京炸酱面同样美味，手擀面条筋道弹牙，味道咸香浓郁。
晟永兴 (朝阳),Beijing,beijing,Beijing Municipality,中国内地,ONE_STAR,优质的,京菜,+86 10 6464 0968,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/sheng-yong-xing-chaoyang,坐落于三里屯使馆区，传统的青砖墙搭配玻璃天窗和吧台，风格中西融合。到达二楼，便会见到砖砌烤炉，以及忙着准备招牌枣酥香烤鸭的厨师。烤鸭采用45天大、附来源证明的北京填鸭，经枣木挂炉烤制后，皮酥肉嫩，肥而不腻，还可增选鱼子酱享用。虾籽烧大虾球滑嫩弹牙，也不容错过。嗜酒者不妨请侍酒师搭配餐酒。
晶采轩,Beijing,beijing,Beijing Municipality,中国大陆地区,Selected,优质的,粤菜,+86 10 6357 7779,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/exquisite-bocuse,空间以柔和的木色为主调，注入长城和红色的设计元素，显得大气而华丽。菜单以粤菜为主，广式烧味、老火炖汤等一应俱全，同时也加入江浙菜式，选择多样。潮州老菜脯炒鲍鱼片镬气十足，老菜脯咸香脆口，与爽弹的新鲜鲍鱼呈现丰富口感，值得一试。餐室设有多个包间，可请经理预先排菜。
